X1,X2,X3,X4
34.02,31.97,13.29,26.46
31.24,95.29,17.54,13.60
47.83,14.33,8.58,10.30
49.29,1.69,13.60,29.04
24.94,71.76,17.09,15.85
46.98,8.18,12.41,11.42
28.25,329.18,12.87,9.73
19.71,41.52,19.58,29.69
49.63,29.00,8.93,29.00
18.21,25.42,12.89,27.48
34.50,5.65,8.27,25.84
25.40,168.72,10.12,12.76
32.08,126.29,16.79,11.66
14.46,296.25,14.43,29.63
34.68,113.11,13.84,10.81
34.96,3.96,15.57,9.06
34.75,341.63,15.03,12.19
38.57,157.65,11.37,9.26
16.76,46.29,13.94,28.97
23.27,76.12,10.30,29.71
40.43,142.96,16.90,8.61
25.91,89.69,12.87,12.75
39.41,8.38,11.76,11.62
24.70,84.65,11.26,10.02
13.45,118.41,16.38,25.77
34.21,84.95,15.64,9.27
48.10,23.96,13.44,12.10
32.70,243.22,13.14,10.17
39.65,134.52,15.31,29.22
25.90,3.01,6.43,26.15
35.88,43.42,13.43,8.69
29.72,61.70,17.47,31.52
44.16,107.08,12.22,27.84
26.12,18.83,13.17,10.21
20.34,6.46,12.06,25.81
46.57,34.42,18.12,28.25
30.06,15.03,11.87,29.36
27.52,1.93,18.93,12.78
45.45,208.71,13.00,13.38
27.20,16.59,15.05,11.16
39.24,32.82,7.81,7.73
42.70,16.33,15.82,14.09
38.68,110.32,11.47,13.51
27.01,64.76,12.83,27.70
46.54,3.10,15.85,14.59
35.72,266.79,21.13,13.88
31.77,22.86,14.65,12.24
49.46,34.39,17.37,23.86
35.83,91.10,17.33,15.04
28.87,102.72,18.22,28.57
40.29,211.58,13.68,12.75
48.76,49.86,14.02,27.88
18.59,52.46,20.57,14.87
30.73,328.15,19.12,10.85
18.48,127.86,11.93,30.17
35.24,45.96,11.47,12.96
17.75,25.72,12.73,29.53
34.76,29.32,16.10,28.40
44.20,143.03,13.42,25.43
49.67,17.20,12.87,25.96
37.98,29.48,8.78,9.25
34.48,68.63,18.80,12.57
22.45,2.50,14.75,13.48
26.29,68.55,15.41,26.49
36.90,329.55,16.89,11.00
24.62,6.79,23.20,26.15
15.63,110.48,16.56,11.39
37.64,32.66,12.40,13.49
35.55,132.04,17.57,26.67
17.33,29.29,14.40,28.58
38.95,58.47,12.87,10.86
46.08,168.63,15.18,27.17
45.92,29.35,9.35,10.91
20.86,155.82,16.79,12.16
17.95,5.07,18.91,26.74
49.14,145.56,14.59,28.44
20.92,89.69,16.78,29.08
38.96,65.97,16.63,13.21
17.11,85.40,18.03,26.85
17.79,26.56,6.57,12.81
32.00,31.54,21.61,9.77
